date,close
07/04/23,93.24
07/04/24,95.35
07/04/25,98.84
07/04/26,99.92
07/04/29,99.8
07/05/01,99.47
07/05/02,100.39
07/05/03,100.4
07/05/04,100.81
07/05/07,103.92
07/05/08,105.06
07/05/09,106.88
07/05/09,107.34
07/05/10,108.74
07/05/13,109.36
07/05/14,107.52
07/05/15,107.34
07/05/16,109.44
07/05/17,110.02
07/05/20,111.98
07/05/21,113.54
07/05/22,112.89
07/05/23,110.69
07/05/24,113.62
07/05/28,114.35
07/05/29,118.77
07/05/30,121.19
07/06/01,118.4
07/06/04,121.33
07/06/05,122.67
07/06/06,123.64
07/06/07,124.07
07/06/08,124.49
07/06/10,120.19
07/06/11,120.38
07/06/12,117.5
07/06/13,118.75
07/06/14,120.5
07/06/17,125.09
07/06/18,123.66
07/06/19,121.55
07/06/20,123.9
07/06/21,123
07/06/24,122.34
07/06/25,119.65
07/06/26,121.89
07/06/27,120.56
07/06/28,122.04
07/07/02,121.26
07/07/03,127.17
